9.019909190248982522e-01 8.631351136533240709e-01 9.289636193923657137e-01 9.317834487511778008e-01 8.269127732941059516e-01 8.305989985877810788e-01 8.119790069631939167e-01 8.910228505399353516e-01 9.187337327424638378e-01 9.428157187564989439e-01 9.561132482884409090e-01 9.177164362519145691e-01 8.736774820834154465e-01 8.597528891490182623e-01
9.092828475988552483e-01 8.449322761876602028e-01 7.809245642415164612e-01 8.514687931878149874e-01 4.075663187394130693e-01 5.417670359504352939e-01 3.430636808733199539e-01 8.477282269961569083e-01 8.012450830301073301e-01 8.636997532538449596e-01 8.688549635856097630e-01 8.037934325242777067e-01 1.774419595561946839e-01 3.545579880383448179e-01
8.401366922800453940e-01 8.414637121639374495e-01 5.467158799197719965e-01 7.539261513670234560e-01 6.058872352096449365e-01 5.704756321764479221e-01 9.480513902842224727e-02 8.109915444141448937e-01 8.449763649783215147e-01 7.838544954863403413e-01 9.004455649103626502e-01 6.651927109688285933e-01 8.545544913271250209e-01 8.215882842901460759e-01
7.679915042251350688e-01 8.235314743709357677e-01 6.284587990360002152e-01 3.181578684247393651e-01 -1.116510160297772281e-01 -5.861177310936913631e-01 -3.444191738977226969e-01 5.024565764910315924e-01 6.409442020092521730e-01 7.292307967608036012e-01 7.181369038615728062e-01 3.661524846053595406e-01 -1.639805913174687824e-01 6.509674652643936410e-01
6.644922413799941863e-01 6.721194400580300377e-01 5.913231256955919779e-01 7.416700442360542045e-01 -6.914366222614436452e-01 -1.181069781007746400e+00 -4.964153282145566948e-02 5.739254752444760133e-01 5.580449598320638138e-01 7.485481558262078172e-01 7.076707171177647471e-01 6.069120733636308440e-01 1.516173456976569467e-01 4.582082917857593918e-01
7.423039875022016121e-01 8.468353149666363322e-01 7.490299439071648191e-01 8.202893772206634182e-01 4.901825711811429453e-01 2.186518470842037098e-01 2.608213887011759935e-01 6.404761247148973435e-01 7.123154958845114848e-01 8.422828466666041347e-01 7.589816497257535488e-01 6.157282257650458224e-01 6.014416483514291034e-01 7.792062761924625214e-01
8.725040046441522312e-01 7.585260084386391544e-01 1.400615572492458494e-01 7.048529592285708301e-01 4.260077479618942231e-01 6.064271042880884366e-01 5.259354633589121697e-01 7.666915031182276463e-01 7.411836011661550039e-01 8.993867099558128242e-01 9.015299789617610138e-01 7.903113642373983394e-01 8.600872373793888581e-02 7.877750248126209609e-01
8.530402478772376451e-01 7.778037395312054070e-01 8.848537576880542987e-01 7.199376076739836261e-01 6.040696305180632830e-01 2.072313316938301231e-02 1.615056776001881911e-01 8.615835887429896811e-01 7.274722559155732959e-01 8.879396515439937909e-01 8.419231039065188105e-01 7.347638411547937620e-01 3.917096621185963690e-01 6.960270613306338561e-01
8.689242032932349424e-01 8.510342679949569611e-01 4.197053541218558337e-01 7.311330315494815046e-01 4.841373209140266143e-01 -1.043595836055731141e+00 -2.688668115811484682e+00 7.869257294606384345e-01 8.076581595509395584e-01 8.885221633727886648e-01 8.430098860865445909e-01 6.030377025661972645e-01 1.966767832460836196e-02 5.560646601309275905e-01
7.331301666754868052e-01 7.610526895225008248e-01 7.409566343646447617e-01 6.963962856856811268e-01 6.002218003744081987e-01 -3.899025594661620353e-02 -1.234105951259507172e+00 7.922949060620224637e-01 7.014458542550900955e-01 7.779955125225885837e-01 8.667186915719565787e-01 3.627843593791778565e-01 -9.769495488897967927e-01 4.944302496418830906e-01
6.616612140480935267e-01 7.333284566793005776e-01 2.620731051082635377e-01 5.564215342274692055e-01 -8.406873761413824475e-02 4.379630489608205002e-01 1.202859664383915117e-01 5.508895972965156540e-01 6.936758703073482302e-01 7.969445925003424414e-01 7.720127472894935394e-01 5.143691436177779686e-01 2.357009475744771265e-01 7.221426282556921983e-01
9.100767891236013485e-01 8.135701257678618070e-01 8.413019310652507521e-01 8.967456014494231686e-01 7.152234750182664413e-01 3.657281593895040928e-01 4.316970926185248469e-01 9.021117402860833190e-01 7.332971197094423355e-01 9.540365115003618390e-01 7.931172108222220851e-01 8.740164300459776214e-01 4.705265086383962903e-01 5.986259239117149855e-01
