1.485673378593099780e-01 1.451653411382279879e-01 8.241452795018489041e-02 1.950341660670916744e-01 1.580380629624481559e-01 1.690970698407950890e-01 1.467659592630172760e-01 1.876818867359902887e-01 1.265724296319925557e-01 1.227872678669239270e-01 1.548077351285381265e-01 1.620472211212918845e-01 1.562083733231971472e-01 3.029813705936673096e-01
2.017632714233237312e-01 2.564101830690300732e-01 1.300002676106478683e-01 1.882326046697940791e-01 2.937385524268327774e-01 1.931890597792782494e-01 2.173057762020784711e-01 1.832736840353442753e-01 1.612793216944342078e-01 1.624991375212874178e-01 1.489646794472557767e-01 1.869814241051323545e-01 2.012720819335750422e-01 2.653958277777687114e-01
1.942296316055444061e-01 2.415552036229716704e-01 1.263313183485724189e-01 3.106628908850825876e-01 3.416003568506071897e-01 1.862814152871336004e-01 1.877882322862938214e-01 1.713410588109799959e-01 1.760478504593574467e-01 3.213856297915710369e-01 9.845692466714828228e-02 1.961739243117885945e-01 1.377019578538457578e-01 3.200971444326726201e-01
1.587343221389919679e-01 1.756694631392284323e-01 1.396433108335146667e-01 2.045857208752642209e-01 4.765026910952441797e-01 2.052773063755284344e-01 1.872430801196303118e-01 1.785732802199928304e-01 2.327993469226030399e-01 2.209912660312419730e-01 1.711615893465736615e-01 3.048397764116135833e-01 2.014320380464178495e-01 1.867334141388556634e-01
2.168972935385531375e-01 1.798911638277489455e-01 9.691932320738816387e-02 2.581193193190437496e-01 2.750518778912653395e-01 1.508996578140718858e-01 2.870370266458980302e-01 1.127893480728644482e-01 1.761409377990847958e-01 1.606892924217221408e-01 1.915725929809217465e-01 1.479982697464208852e-01 3.022908446407101546e-01 1.652884777070305344e-01
1.570898863366352316e-01 9.928109517977978804e-02 1.619895411539254981e-01 2.017509706195595443e-01 3.430304190669265507e-01 2.341764683609636188e-01 1.654284472226990044e-01 2.719558089393361300e-01 1.947782852203344961e-01 1.335538227719568205e-01 1.494206793272947476e-01 1.574946911453539711e-01 1.775199893892407399e-01 2.148956725165586668e-01
1.703322363430772590e-01 2.458811939083097031e-01 2.301977597043144419e-01 2.399048387935042159e-01 2.072315660806045567e-01 1.198604198507704083e-01 1.471618741632829686e-01 1.520164626259418172e-01 2.397890581158131917e-01 1.765408519087819927e-01 1.476851195527774663e-01 1.406048916571235319e-01 1.440981697987270271e-01 1.785983450857242527e-01
1.166983880373145821e-01 2.650470448253429145e-01 1.311207118636862901e-01 2.071171286105105702e-01 2.469100618595726493e-01 1.234120117723752075e-01 1.135858886216878361e-01 1.438459113263568789e-01 1.501658189357963913e-01 1.185487838218660661e-01 1.513278861914254259e-01 2.212040049195583835e-01 1.954677153345419915e-01 1.995134359519623590e-01
1.955650071218093533e-01 1.879263925874144481e-01 2.001609237855379031e-01 2.487782571428631684e-01 3.810338972778323230e-01 2.391387395026217666e-01 1.906633340619806605e-01 1.573773872580875866e-01 2.457532873396611195e-01 1.937690241780594125e-01 2.100971281312559724e-01 1.805579189630490689e-01 1.689662065246675393e-01 2.518118618399632913e-01
1.501227538896019453e-01 2.643955980584973275e-01 1.389338467592411419e-01 1.826454799519037220e-01 3.522296764924536250e-01 2.018476389853523512e-01 1.383363064380530305e-01 8.838249059242841987e-02 1.911338748291215861e-01 1.780193276146380121e-01 1.392874321963684103e-01 1.444303093682839378e-01 2.219311338219057128e-01 2.028804860730439863e-01
2.420088115798282868e-01 1.333185497584263857e-01 1.482094409212301178e-01 1.212165368250728292e-01 2.137808959371189088e-01 1.019202024445402532e-01 1.615372321987829651e-01 1.858039688546948565e-01 2.338944100395504710e-01 2.028447903246953787e-01 1.435472457755657683e-01 1.079559302372279372e-01 1.701054276021586320e-01 1.790510309223460328e-01
1.466716907956393534e-01 2.155770358411872034e-01 2.155727817987517225e-01 9.754620952305603776e-02 1.515431320574704976e-01 1.516968636764596257e-01 1.587030588474193094e-01 1.643901971379403415e-01 2.021789676151485304e-01 1.373213064283490825e-01 1.511816379745851702e-01 1.184244848846359582e-01 1.882529701855537585e-01 1.888399809766124204e-01
