5.300000000000000000e+01 1.000000000000000000e+02 1.039023437500000000e+02 1.351776123046875000e+00
5.100000000000000000e+01 8.500000000000000000e+01 1.038350830078125000e+02 1.341819763183593750e+00
5.900000000000000000e+01 5.400000000000000000e+01 1.036952514648437500e+02 1.375686645507812500e+00
6.100000000000000000e+01 5.800000000000000000e+01 1.037130737304687500e+02 1.384956359863281250e+00
5.600000000000000000e+01 1.180000000000000000e+02 1.039830322265625000e+02 1.366409301757812500e+00
6.800000000000000000e+01 9.200000000000000000e+01 1.038653869628906250e+02 1.418609619140625000e+00
4.400000000000000000e+01 5.700000000000000000e+01 1.037097167968750000e+02 1.308547973632812500e+00
4.900000000000000000e+01 6.700000000000000000e+01 1.037543334960937500e+02 1.331672668457031250e+00
5.000000000000000000e+01 9.200000000000000000e+01 1.038665771484375000e+02 1.337814331054687500e+00
5.000000000000000000e+01 9.700000000000000000e+01 1.038890380859375000e+02 1.338211059570312500e+00
4.900000000000000000e+01 7.200000000000000000e+01 1.037767944335937500e+02 1.331962585449218750e+00
6.000000000000000000e+01 6.800000000000000000e+01 1.037580871582031250e+02 1.381141662597656250e+00
4.000000000000000000e+01 8.000000000000000000e+01 1.038133239746093750e+02 1.292060852050781250e+00
4.300000000000000000e+01 9.700000000000000000e+01 1.038895263671875000e+02 1.306701660156250000e+00
